Revision:   799
Variant:    Variant of FP_20_Online_P1_V3_ST
Units used: mm

Designator Comment              Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation MPN   
TR1        WE_LAN_AQ_749010310  BottomLayer WE_LAN_749010012A                               100.8028     21.6969      0        749010310                            
TR2        WE_LAN_AQ_749010310  BottomLayer WE_LAN_749010012A                               57.4475      33.9345      270      749010310                            
TR3        WE_LAN_AQ_749010310  BottomLayer WE_LAN_749010012A                               67.1790      19.0258      180      749010310                            
U1         74LVC1G125GW         BottomLayer SOT353                                          95.9143      48.2098      90       74LVC1G125GW                         
U24        WE-TVS               BottomLayer SOT23-6                                         103.2508     43.5428      90       8240136                              
U27        74LVC1G19GW          TopLayer    SOT363_NXP                                      77.9838      20.3482      180      74LVC1G19GW                          
U28        KSZ8775CLX           BottomLayer LQFP80_10X10_MICROCHIP                          78.6929      46.6623      180      KSZ8775CLXCC                         
U30        ISM95-3351AH-25.0000 BottomLayer LFSPXO025165                                    88.2906      39.6253      270      ISM95-3351AH-25.0000                 
U32        MCP1700T-1202E/TT    BottomLayer SOT-23                                          81.7253      31.4950      0        MCP1700T-1202E/TT                    
U33        MCP1700T-1202E/TT    BottomLayer SOT-23                                          72.7044      54.9942      270      MCP1700T-1202E/TT                    
U35        ST33HTPH2E28AAF1     TopLayer    TSSOP28_STM                                     76.6041      32.8073      180      "ST33HTPH2E28AHD0; ST33HTPH2E28AAF1" 
U45        USBUF01W6            BottomLayer SOT323-6                                        57.9148      -3.8409      0        USBUF01W6                            
U48        TRS3221ECPW          BottomLayer TSOP16                                          25.9570      14.2505      180      TRS3221ECPWR                         
U28a       KSZ8794              BottomLayer QFN64_8X8                                       78.5970      46.6060      90       ""                                   
