RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	36.136        	57.611        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	3.121         	35.628        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	35.66         	34.28         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	28.893        	61.122        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	1.837         	57.487        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	2.066         	34.62         	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	16.434        	60.995        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	11.611        	37.848        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	11.62         	41.382        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	26.119        	52.449        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	16.398        	60.641        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	34.821        	56.733        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	35.54         	41.091        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	20.053        	61.647        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	2.476         	61.599        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	2.594         	58.936        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	13.732        	60.867        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	11.197        	60.922        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	31.947        	60.412        	Bottom 	0.0      	100kR 1%       	            	                 
